[<27.5, 17.5, 10>, <0, 20, 10>, <2.5, 17.5, 10>, <0, 15, 10>, <27.5, 20, 7.5>, <2.5, 20, 7.5>, <2.5, 15, 7.5>, <27.5, 15, 7.5>, <27.5, 17.5, 5>, <0, 20, 5>, <2.5, 17.5, 5>, <0, 15, 5>]
[<0, 15, 10>, <2.5, 17.5, 10>, <5, 15, 10>, <2.5, 12.5, 10>, <0, 17.5, 7.5>, <5, 17.5, 7.5>, <5, 12.5, 7.5>, <0, 12.5, 7.5>, <0, 15, 5>, <2.5, 17.5, 5>, <5, 15, 5>, <2.5, 12.5, 5>]
[<27.5, 15, 12.5>, <0, 17.5, 12.5>, <2.5, 15, 12.5>, <0, 12.5, 12.5>, <27.5, 17.5, 10>, <2.5, 17.5, 10>, <2.5, 12.5, 10>, <27.5, 12.5, 10>, <27.5, 15, 7.5>, <0, 17.5, 7.5>, <2.5, 15, 7.5>, <0, 12.5, 7.5>]
[<0, 17.5, 12.5>, <2.5, 20, 12.5>, <5, 17.5, 12.5>, <2.5, 15, 12.5>, <0, 20, 10>, <5, 20, 10>, <5, 15, 10>, <0, 15, 10>, <0, 17.5, 7.5>, <2.5, 20, 7.5>, <5, 17.5, 7.5>, <2.5, 15, 7.5>]
[<27.5, 17.5, 15>, <0, 20, 15>, <2.5, 17.5, 15>, <0, 15, 15>, <27.5, 20, 12.5>, <2.5, 20, 12.5>, <2.5, 15, 12.5>, <27.5, 15, 12.5>, <27.5, 17.5, 10>, <0, 20, 10>, <2.5, 17.5, 10>, <0, 15, 10>]
[<0, 15, 15>, <2.5, 17.5, 15>, <5, 15, 15>, <2.5, 12.5, 15>, <0, 17.5, 12.5>, <5, 17.5, 12.5>, <5, 12.5, 12.5>, <0, 12.5, 12.5>, <0, 15, 10>, <2.5, 17.5, 10>, <5, 15, 10>, <2.5, 12.5, 10>]
[<27.5, 15, 17.5>, <0, 17.5, 17.5>, <2.5, 15, 17.5>, <0, 12.5, 17.5>, <27.5, 17.5, 15>, <2.5, 17.5, 15>, <2.5, 12.5, 15>, <27.5, 12.5, 15>, <27.5, 15, 12.5>, <0, 17.5, 12.5>, <2.5, 15, 12.5>, <0, 12.5, 12.5>]
[<0, 17.5, 17.5>, <2.5, 20, 17.5>, <5, 17.5, 17.5>, <2.5, 15, 17.5>, <0, 20, 15>, <5, 20, 15>, <5, 15, 15>, <0, 15, 15>, <0, 17.5, 12.5>, <2.5, 20, 12.5>, <5, 17.5, 12.5>, <2.5, 15, 12.5>]
[<27.5, 17.5, 20>, <0, 20, 20>, <2.5, 17.5, 20>, <0, 15, 20>, <27.5, 20, 17.5>, <2.5, 20, 17.5>, <2.5, 15, 17.5>, <27.5, 15, 17.5>, <27.5, 17.5, 15>, <0, 20, 15>, <2.5, 17.5, 15>, <0, 15, 15>]
[<0, 15, 20>, <2.5, 17.5, 20>, <5, 15, 20>, <2.5, 12.5, 20>, <0, 17.5, 17.5>, <5, 17.5, 17.5>, <5, 12.5, 17.5>, <0, 12.5, 17.5>, <0, 15, 15>, <2.5, 17.5, 15>, <5, 15, 15>, <2.5, 12.5, 15>]
